3925,20150801,213,900,8,7.5,93,6.9
3925,20150802,214,900,5.5,5.1,94,4.6
3925,20150803,215,900,13.7,12.5,86,11.4
3925,20150804,216,900,11.4,10.1,84,8.8
3925,20150805,217,900,3.2,2.9,95,2.5
3925,20150806,218,900,0.3,0.1,95,-0.4
3925,20150807,219,900,4.1,3.4,89,2.5
3925,20150808,220,900,1.5,1.2,94,0.7
3925,20150809,221,900,-2.8,-2.9,94,-3.6
3925,20150810,222,900,-1.3,-1.6,93,-2.3
3925,20150811,223,900,-3.8,-3.9,93,-4.7
3925,20150812,224,900,-2.6,-2.8,94,-3.4
3925,20150813,225,900,2.4,2,92,1.2
3925,20150814,226,900,9,8,86,6.8
3925,20150815,227,900,7.4,6.8,91,6
3925,20150816,228,900,9.4,7.8,79,6
3925,20150817,229,900,2.2,1.8,92,1.1
3925,20150818,230,900,6.8,6.1,90,5.3
3925,20150819,231,900,6.1,5.1,85,3.8
3925,20150820,232,900,6.1,5.6,92,4.9
3925,20150821,233,900,3.9,3.4,91,2.6
3925,20150822,234,900,6.2,5.2,85,3.9
3925,20150823,235,900,5.5,4.9,91,4.2
3925,20150824,236,900,5,4.3,88,3.2
3925,20150825,237,900,8.5,8,93,7.4
3925,20150826,238,900,5.7,5.3,93,4.7
3925,20150827,239,900,6.2,5.2,85,3.9
3925,20150828,240,900,6,5.2,88,4.2
3925,20150829,241,900,9.6,8.3,83,6.9
3925,20150830,242,900,10.4,9.8,92,9.2
3925,20150831,243,900,8.7,7.3,81,5.6
3925,20150901,244,900,7.1,5.4,76,3.2
3925,20150902,245,900,10.4,9.4,87,8.3
3925,20150903,246,900,9.5,8.5,87,7.4
3925,20150904,247,900,8.2,6.6,78,4.6
3925,20150905,248,900,3.6,3.2,93,2.6
3925,20150906,249,900,4.5,3.8,88,2.7
3925,20150907,250,900,0.8,0.6,95,0.1
3925,20150908,251,900,1.8,1.5,95,1.1
3925,20150909,252,900,7.3,5.6,76,3.4
3925,20150910,253,900,8.8,8.2,91,7.4
3925,20150911,254,900,4.4,3.9,91,3.1
3925,20150912,255,900,2.6,2.3,94,1.7
3925,20150913,256,900,7.2,6.5,90,5.7
3925,20150914,257,900,5.4,5,93,4.4
3925,20150915,258,900,8.4,7.7,90,6.9
3925,20150916,259,900,10.3,10.1,97,9.8
3925,20150917,260,900,9.3,9.1,97,8.9
3925,20150918,261,900,10,9.4,92,8.8
3925,20150919,262,900,6,5.6,93,5
3925,20150920,263,900,8.6,5.5,59,1.1
3925,20150921,264,900,6.1,3.7,64,-0.2
3925,20150922,265,900,4.2,3,80,1.1
3925,20150923,266,900,10,8.9,86,7.8
3925,20150924,267,900,14,9.4,51,4.1
3925,20150925,268,900,7.1,5.2,73,2.6
3925,20150926,269,900,11.5,6.9,46,0.3
3925,20150927,270,800,3.3,2.3,82,0.6
3925,20150928,271,800,4.4,4.3,98,4.1
3925,20150929,272,800,5.8,5.3,92,4.6
3925,20150930,273,800,5.9,5.8,98,5.6
3925,20151001,274,800,9.1,8.9,97,8.7
3925,20151002,275,800,9.1,8.9,97,8.7
3925,20151003,276,800,6.8,6.7,98,6.5
3925,20151004,277,800,11,9.4,80,7.7
3925,20151005,278,800,8.1,7.6,93,7.1
3925,20151006,279,800,5.9,5.6,95,5.2
3925,20151007,280,800,5.6,5.5,99,5.5
3925,20151008,281,800,8.7,7.7,86,6.5
3925,20151009,282,800,5.7,5.5,97,5.3
