3925,20150811,900,-3.8,-3.9,93,-4.7
3925,20150812,900,-2.6,-2.8,94,-3.4
3925,20150813,900,2.4,2,92,1.2
3925,20150814,900,9,8,86,6.8
3925,20150815,900,7.4,6.8,91,6
3925,20150816,900,9.4,7.8,79,6
3925,20150817,900,2.2,1.8,92,1.1
3925,20150818,900,6.8,6.1,90,5.3
3925,20150819,900,6.1,5.1,85,3.8
3925,20150820,900,6.1,5.6,92,4.9
3925,20150821,900,3.9,3.4,91,2.6
3925,20150822,900,6.2,5.2,85,3.9
3925,20150823,900,5.5,4.9,91,4.2
3925,20150824,900,5,4.3,88,3.2
3925,20150825,900,8.5,8,93,7.4
3925,20150826,900,5.7,5.3,93,4.7
3925,20150827,900,6.2,5.2,85,3.9
3925,20150828,900,6,5.2,88,4.2
3925,20150829,900,9.6,8.3,83,6.9
3925,20150830,900,10.4,9.8,92,9.2
3925,20150831,900,8.7,7.3,81,5.6
3925,20150901,900,7.1,5.4,76,3.2
3925,20150902,900,10.4,9.4,87,8.3
3925,20150903,900,9.5,8.5,87,7.4
3925,20150904,900,8.2,6.6,78,4.6
3925,20150905,900,3.6,3.2,93,2.6
3925,20150906,900,4.5,3.8,88,2.7
3925,20150907,900,0.8,0.6,95,0.1
3925,20150908,900,1.8,1.5,95,1.1
3925,20150909,900,7.3,5.6,76,3.4
3925,20150910,900,8.8,8.2,91,7.4
3925,20150911,900,4.4,3.9,91,3.1
3925,20150912,900,2.6,2.3,94,1.7
3925,20150913,900,7.2,6.5,90,5.7
3925,20150914,900,5.4,5,93,4.4
3925,20150915,900,8.4,7.7,90,6.9
3925,20150916,900,10.3,10.1,97,9.8
3925,20150917,900,9.3,9.1,97,8.9
3925,20150918,900,10,9.4,92,8.8
3925,20150919,900,6,5.6,93,5
3925,20150920,900,8.6,5.5,59,1.1
3925,20150921,900,6.1,3.7,64,-0.2
3925,20150922,900,4.2,3,80,1.1
3925,20150923,900,10,8.9,86,7.8
3925,20150924,900,14,9.4,51,4.1
